n, iterative-time, recursive-time
914,3291,3292
915,3292,3292
916,3292,3292
917,3333,3250
918,3334,3292
919,3291,3292
920,3291,3375
921,3292,3292
922,3292,3375
923,3333,3292
924,3334,3375
925,3375,3292
926,3333,3292
927,3333,3333
928,3334,3334
929,3333,3333
930,3375,3625
931,3500,3500
932,3500,3459
933,3458,3458
934,3458,3500
935,3500,3500
936,3625,3500
937,3375,3333
938,3500,3458
939,3500,3500
940,3500,3500
941,3458,3458
942,3541,3500
943,3542,3500
944,3459,3500
945,3500,3500
946,3500,3500
947,3583,3375
948,3416,3417
949,3375,3417
950,3417,3375
951,3416,3417
952,3417,3416
953,3417,3416
954,3416,3375
955,3458,3417
956,3417,3416
957,3375,3417
958,3416,3416
959,3417,3458
960,3416,3417
961,3458,3416
962,3416,3458
963,3417,3500
964,3500,3458
965,3458,3416
966,3458,3458
967,3458,3458
968,3458,3500
969,3458,3458
970,3458,3458
971,3500,3459
972,3500,3500
973,3458,3500
974,3500,3458
975,3459,3458
976,3500,3500
977,3500,3500
978,3666,3708
979,3708,3625
980,3625,3625
981,3667,3667
982,3541,3542
983,3500,3667
984,3667,3667
985,3750,3667
986,3667,3667
987,3834,3667
988,3666,3667
989,3666,3667
990,3666,3666
991,3916,3708
992,3667,3667
993,3708,3708
994,3666,3708
995,3709,3667
996,3667,3709
997,3709,3875
998,3583,3542
999,3583,3583
1000,3625,3583
1001,3583,3583
1002,3584,3584
1003,3584,3584
1004,3667,3625
1005,3625,3583
1006,3584,3625
1007,3583,3625
1008,3583,3584
1009,3625,3709
1010,3666,3625
1011,3625,3625
1012,3583,3625
1013,3625,3625
1014,3625,3625
1015,3625,3666
1016,3667,3625
1017,3667,3666
1018,3667,3625
1019,3625,3666
1020,3625,3625
1021,3625,3666
1022,3625,3625
1023,3625,3625
1024,3667,3667
1025,3667,3666
1026,3667,3666
1027,3667,3667
1028,3667,3708
1029,3708,3667
1030,3791,3708
1031,3709,3667
1032,3625,3667
1033,3709,3750
1034,3708,3708
1035,3667,3708
1036,3750,3750
1037,3750,3750
1038,3709,3792
1039,3750,3708
1040,3750,7208
1041,3667,3708
1042,3709,3750
1043,3750,3750
1044,3708,4083
1045,4042,3917
1046,3958,3875
1047,3875,3875
1048,3917,3709
1049,3750,3750
1050,3750,3750
1051,3875,3750
1052,3792,3750
1053,3792,3792
1054,3875,3750
1055,3750,3792
1056,3750,3792
1057,3792,3792
1058,3792,3791
1059,3833,3833
1060,3791,3792
1061,3792,3792
1062,3791,4125
1063,4042,3958
1064,3959,3959
1065,3958,3958
1066,3958,3958
1067,3958,4041
1068,3917,3917
1069,3959,3959
1070,3958,3959
1071,3958,3958
1072,4042,4041
1073,3958,3958
1074,3958,3958
1075,4000,4000
1076,4000,4000
1077,4000,4000
1078,4000,4000
1079,4000,4000
1080,4000,3959
1081,4000,4000
1082,4000,4000
1083,4291,3917
1084,3875,3875
1085,3875,3875
1086,3875,3875
1087,3875,3917
1088,3917,3875
1089,3875,3959
1090,3916,3875
1091,3916,3875
1092,3875,3834
1093,3917,3916
1094,3916,3917
1095,3958,3916
1096,3917,3916
1097,3917,3917
1098,3916,3917
1099,3959,3917
1100,3917,3917
1101,4083,3958
1102,3958,4000
1103,3958,3917
1104,3958,3958
1105,3917,3959
1106,3916,3916
1107,4083,4250
1108,4125,4083
